code,similarity,nl
find Path -samefile Regex,find path -samefile regex,find all hard link to file _FILE that exist under current directori tree
find Path -name Regex | xargs -I {} rm {},find path -name regex | xargs -i {} rm {},remov all file whose name begin with _REGEX in _FILE directori tree
local pingResults=$(LANG=C ping -q -c10 $gateway),local pingresults=$(lang=c ping -q -c10 $gateway),save _NUMBER ping result to _REGEX in variabl _REGEX
true | sleep Timespan,true | sleep timespan,execut _REGEX in a subshel creat by a pipelin of built-in function _REGEX
pwd mktemp -d,pwd mktemp -d,creat temporari folder and save current folder path join with creat temporari folder path in _REGEX variabl
find Path -type f -exec grep -l Regex {} \;,find path -type f -exec grep -l regex {} \;,search current directori recurs for file contain _REGEX
ssh -fNR 1234:localhost:22 root@123.123.123.123,ssh -fnr 1234:localhost:22 root@123.123.123.123,listen on port _NUMBER on _FILE and forward it to port _NUMBER on localhost
sudo yum --disablerepo epel update openssl,sudo yum --disablerepo epel update openssl,updat _REGEX packag without use of _REGEX repositori
chown Regex File,chown regex file,chang user to _REGEX and group to _REGEX of _FILE
comm -1 -2 File File,comm -1 -2 file file,print common line in _REGEX and _REGEX
find Path -name Regex | sed Program | column -t,find path -name regex | sed program | column -t,find all file match _REGEX in current directori and append _REGEX
find . -depth -name * * | while IFS= read -r f ; do mv -i $f $(dirname $f)/$(basename $f|tr ' ' _) ; done,find . -depth -name * * | while ifs= read -r f ; do mv -i $f $(dirname $f)/$(basename $f|tr ' ' _) ; done,find all file and directori with space in name under current directori and renam them by replac all space with _REGEX
find Path -type d -mtime +Timespan -name Regex -print | xargs -I {} rm -r -f {},find path -type d -mtime +timespan -name regex -print | xargs -i {} rm -r -f {},recurs delet without prompt directori under _FILE that are older than _TIMESPAN and where name start with a number
getent group | cut -d: -f1 | sort,getent group | cut -d: -f1 | sort,print sort list of all group name known to system
chown Regex File,chown regex file,chang owner of _REGEX to _REGEX
df --output=target $path | tail -1,df --output=target $path | tail -1,print mount point of file system contain _REGEX
find Path -type f,find path -type f,search _DIRECTORY directori recurs for regular file
finger | awk -F Regex -v Program Program | sed Program,finger | awk -f regex -v program program | sed program,delet _REGEX tab separ column from output of _REGEX
find Path -not -name Regex,find path -not -name regex,search directori given as argument to bash script for file whose name is not _REGEX
find $DBA/$ORACLE_SID/bdump/*.trc -mtime -1 -print >> /tmp/trace_list.lst,find $dba/$oracle_sid/bdump/*.trc -mtime -1 -print >> /tmp/trace_list.lst,save list of all trace file from folder _DIRECTORY which been modifi in _TIMESPAN
chgrp -R Regex File,chgrp -r regex file,recurs chang group ownership of everyth within _FILE to _REGEX
find Path -type f -iname Regex | grep -i Regex,find path -type f -iname regex | grep -i regex,find all _FILE sourc code file from current directori tree that contain _REGEX in pathnam ignor case
df File | awk Program,df file | awk program,print amount of space avail on file system conta path to current work directori
ssh -i File Regex command,ssh -i file regex command,ssh into host _REGEX use key file _FILE and execut command _REGEX
cat `/gnuwin32/bin/find.exe . -name *.php` | wc -l,cat `/gnuwin32/bin/find.exe . -name *.php` | wc -l,count number of line in all _FILE file in current directori tree use bash for window
find Path -name Regex,find path -name regex,find all file and directori name _FILE under current directori tree
find Path -type f -iname Regex -print | xargs -I {} grep Regex {},find path -type f -iname regex -print | xargs -i {} grep regex {},check all _FILE file whether contain _REGEX
shopt -u -o history,shopt -u -o history,unset _REGEX shell option
find Path -type f -size -Size,find path -type f -size -size,find all regular file under _FILE directori tree that are less than _SIZE in size
cat File | tr -s Regex | cut -d Regex -f Number,cat file | tr -s regex | cut -d regex -f number,replac all sequenc of _REGEX charact in file _FILE with a singl occur of such symbol and print space-separ field of each string but first _NUMBER field
find Path -name Regex,find path -name regex,find file start with word _REGEX in current directori tree
find Path -type f -iregex Regex ! -name Regex -print0,find path -type f -iregex regex ! -name regex -print0,find all regular file under and below _FILE that extens _FILE tif tiff _FILE jpg _FILE bmp pcb or dex ignor case and exclud _FILE file
find Path -iname Regex,find path -iname regex,find and imag in current folder
find Path -name Regex -exec grep -l Regex {} + | wc -l,find path -name regex -exec grep -l regex {} + | wc -l,count number of file name _FILE under _FILE directori tree that match _REGEX in content
find Path -maxdepth Quantity -type d | wc -l,find path -maxdepth quantity -type d | wc -l,count number of all directori under directori _FILE non-recurs
find Path -size Size,find path -size size,display all file in file system which are smaller than _SIZE
csvtopretty filename.csv | less -S,csvtopretty filename.csv | less -s,user page through _FILE with long line chop so fit within width of _FILE
od | cut -b Number | xargs -n Quantity | sort | uniq | wc -l,od | cut -b number | xargs -n quantity | sort | uniq | wc -l,convert standard input into a dump of octal byte without first _SIZE of address and count uniqu result
find Path -type f -name Regex -exec cp {} File \;,find path -type f -name regex -exec cp {} file \;,find all _FILE file and copi them to _DIRECTORY
find Path -name Regex -print | xargs -I {} grep -l Regex {},find path -name regex -print | xargs -i {} grep -l regex {},find all _FILE file under _REGEX directori which context contain sprintf
readlink -f File,readlink -f file,print canon filenam of _FILE
find Path -name Regex | wc -l,find path -name regex | wc -l,count number of file name _REGEX
find Path -name Regex -exec grep -r Regex {} \;,find path -name regex -exec grep -r regex {} \;,find all file end with _REGEX in current folder and search for a pattern
su -c dbca -silent -createDatabase -templateName General_Purpose.dbc -gdbName qualidade -sysPassword password -systemPassword password -scriptDest /u01/app/oracle/oradata/qualidade -characterSet WE8ISO8859P1 -s /bin/sh oracle,su -c dbca -silent -createdatabase -templatename general_purpose.dbc -gdbname qualidade -syspassword password -systempassword password -scriptdest /u01/app/oracle/oradata/qualidade -characterset we8iso8859p1 -s /bin/sh oracle,run a command _FILE with bash shell as user oracl
find Path -size +Size,find path -size +size,search for file that are at least _SIZE
find Path -name Regex -atime +Timespan -type f,find path -name regex -atime +timespan -type f,display all _FILE file in file system which not been access in _TIMESPAN
find Path -name Regex -exec chmod Permission {} +,find path -name regex -exec chmod permission {} +,chang permiss of all _FILE file in current folder plus symbol at end is use to give multipl file as input to chmod command
find Path -mtime +Timespan -type f -exec ls -l {} \;,find path -mtime +timespan -type f -exec ls -l {} \;,display long list of all file in _FILE which were modifi _TIMESPAN or more ago
find Path -name Regex,find path -name regex,find all file in entir file system that start with word top and _NUMBER letter next to it
"mount -o ro,loop,offset=$OFFSET -t auto Regex Regex","mount -o ro,loop,offset=$offset -t auto regex regex",mount a partit in _REGEX with offset _REGEX to _FILE as read onli use a loop devic
find Path -maxdepth Quantity -name Regex -prune -or -exec rm -r -f {} \;,find path -maxdepth quantity -name regex -prune -or -exec rm -r -f {} \;,delet all file and directori taken by glob pattern _REGEX except one with name _REGEX
mktemp --suffix Regex,mktemp --suffix regex,creat temporari file with append suffix _FILE and save path to it in _REGEX variabl
dig Regex Regex @resolver1.opendns.com,dig regex regex @resolver1.opendns.com,look up for _FILE in server _FILE and save ters output in _REGEX variabl
find Path -type d -print,find path -type d -print,display all directori in a folder
find Path -type f -exec grep Regex {} \; -ls,find path -type f -exec grep regex {} \; -ls,search for _FILE in all regular file under current directori tree and also show a long list of them
find Path -type f -name Regex -exec sed -i -e Program {} \;,find path -type f -name regex -exec sed -i -e program {} \;,remov _REGEX charact from all _FILE file under _FILE directori
history | cut -d Regex -f Number | sed Program,history | cut -d regex -f number | sed program,print output of histori without line number
find Path -mtime +Timespan -exec rm {} \;,find path -mtime +timespan -exec rm {} \;,delet file in _REGEX older than _REGEX day
find Path -type f -size +Size -print,find path -type f -size +size -print,look for all file larger than _SIZE within _FILE
cat File | sort -t Regex -k Number -n,cat file | sort -t regex -k number -n,numer sort content of file _REGEX use for sort part of second one of dash separ field begin from second letter
read Regex,read regex,read a singl line from standard input and save to variabl _REGEX
screen -S name application,screen -s name application,assign a name when start a screen session
find Path -name Regex -exec grep Regex {} \; -print,find path -name regex -exec grep regex {} \; -print,search for _REGEX in all file with _FILE extens under current directori tree and also print filenam
find Path -iname Regex,find path -iname regex,display all text file in folder _FILE
zcat input.gz | ./myscript.pl,zcat input.gz | ./myscript.pl,send uncompress content of _FILE to _FILE
basename Regex,basename regex,set variabl _REGEX to base name of first argument to script or function that is part follow last slash
find Path -name Regex -exec cat {} +,find path -name regex -exec cat {} +,find all _FILE file under current directori and print content
md5sum File | sed -e Program,md5sum file | sed -e program,renam all file in current directori to _REGEX sum follow by extens and print convers
find Path -mtime +Timespan -print,find path -mtime +timespan -print,search _FILE directori tree for file that not been modifi within _TIMESPAN
find Path -size +Size -exec rm -r -f {} \;,find path -size +size -exec rm -r -f {} \;,find all _SIZE file in file system and delet them use _FILE command
bash | tee File,bash | tee file,copi standard output of a _REGEX session to _FILE
find Path -newer File -exec tar -u -v -f File {} \;,find path -newer file -exec tar -u -v -f file {} \;,updat archiv copi of home directori _FILE
find Path -maxdepth Quantity -mindepth Quantity -type d,find path -maxdepth quantity -mindepth quantity -type d,find all directori in maximum _NUMBER level down _FILE directori
find Path -regex Regex,find path -regex regex,display a long list of all _FILE or _FILE file in entir file system
nslookup `hostname`,nslookup `hostname`,dns lookup of current host
awk Program Program,awk program program,output line _NUMBER to _NUMBER of _REGEX and stop read _REGEX after line _NUMBER
find Path -iname Regex -exec tar -r -v -f File {} \;,find path -iname regex -exec tar -r -v -f file {} \;,search for file and directori with case insensit pattern _FILE in _FILE directori and creat an archiv of all file found
find Path -type f -print0 | xargs -0 -e Regex -n Quantity -e Regex,find path -type f -print0 | xargs -0 -e regex -n quantity -e regex,search word _REGEX in all regular file in current folder and display line number and file name
DIR=find $HOME -type d -name $1 | head 1,dir=find $home -type d -name $1 | head 1,search for a directori in a folder take name as argument and assign first instanc of it to a variabl
find `pwd` -name *rc.conf -execdir /bin/chmod o+r {} ;,find `pwd` -name *rc.conf -execdir /bin/chmod o+r {} ;,search current directori for _FILE file and grant _REGEX user read permiss
find Path -xdev -inum Quantity,find path -xdev -inum quantity,search for all file in _FILE directori tree that same inod number
find Path -type d | wc -l,find path -type d | wc -l,display count of all directori present in a folder
find Path -type f -mtime -Timespan | xargs -I {} tar -c -v -f $( date '+%d%m%Y'_archive.tar ) {},find path -type f -mtime -timespan | xargs -i {} tar -c -v -f $( date '+%d%m%y'_archive.tar ) {},find file that were modifi less than _TIMESPAN ago and archiv them
find Path -name Regex -print0 | xargs -0 -I {} cp -t Directory {},find path -name regex -print0 | xargs -0 -i {} cp -t directory {},copi all file under current directori like _REGEX to _FILE directori
head - Quantity <( sort File ),head - quantity <( sort file ),print first line of output after alphabet sort file _REGEX
mktemp -d -p Directory,mktemp -d -p directory,creat temporari folder within a _REGEX folder and save path to it in a _REGEX variabl
find Path -name Regex,find path -name regex,find file recurs with extens _REGEX
find Path -name Regex -type d -exec rm -r -f {} \;,find path -name regex -type d -exec rm -r -f {} \;,remov all _FILE directori from current directori tree
alias :=xargs -I{},alias :=xargs -i{},set alia _REGEX for command _REGEX
set | grep -o -P Regex | grep Regex,set | grep -o -p regex | grep regex,list environ variabl whose name contain _REGEX
find Path -nouser,find path -nouser,find file own by no user
cd $( pwd -P ),cd $( pwd -p ),resolv ani symlink in work directori and go to result pathnam
diff -q -r File File | sort,diff -q -r file file | sort,print summari of _FILE file and which file differ between _REGEX and _REGEX sort alphabet
shopt -s | grep -E -i Regex,shopt -s | grep -e -i regex,check if _REGEX shell option is enabl and if so save it status in _REGEX variabl
"while true ; do nc -l -p 1500 -c echo -e ""HTTP/1.1 200 OK\n\n $(date)""; done","while true ; do nc -l -p 1500 -c echo -e ""http/1.1 200 ok\n\n $(date)""; done",serv minim http respons with netcat
grep -n Regex File | head -n Quantity,grep -n regex file | head -n quantity,search for _REGEX in a larg file and print match line
find -P Path -lname Regex,find -p path -lname regex,search current directori tree for symbol link to file match pattern _FILE
find Path -type f -mtime -Timespan -exec echo {} +,find path -type f -mtime -timespan -exec echo {} +,print list of regular file from current directori tree that were modifi less than _TIMESPAN ago
find . -name *.zip | xargs -n1 unzip,find . -name *.zip | xargs -n1 unzip,unzip all _FILE file under current directori
find / -name foo.bar -print 2>/dev/null,find / -name foo.bar -print 2>/dev/null,find a file _FILE without show _REGEX messag
date -d @$(git log -n1 --format=%at) +%Y%m%d%H%M,date -d @$(git log -n1 --format=%at) +%y%m%d%h%m,print git _FILE messag with a custom time format string
find Path -type f -exec rm {} \;,find path -type f -exec rm {} \;,remov all _FILE file in _DIRECTORY directori
find Path -name Regex -print0 | cpio -p -a -m -v -d -0 Regex,find path -name regex -print0 | cpio -p -a -m -v -d -0 regex,copi all _FILE file in current directori tree to _FILE preserv directori hierarchi
find Path -type f -exec chmod Permission {} \;,find path -type f -exec chmod permission {} \;,chang everi file under _DIRECTORY to permiss _NUMBER
find Path -perm Permission -mtime Timespan -print,find path -perm permission -mtime timespan -print,display all file in current folder which permiss _NUMBER and which been modifi in _TIMESPAN
find /students -type l -print 2> /dev/null |wc -l,find /students -type l -print 2> /dev/null |wc -l,count number of symbol link start from _FILE
find Path -type f \( -name Regex -or -name Regex \) -print,find path -type f \( -name regex -or -name regex \) -print,search current directori tree for _FILE and _FILE file
var=`hg st -R $path | sed -e s/  *$//`,var=`hg st -r $path | sed -e s/  *$//`,remov trail space from output of _REGEX and save result in variabl _REGEX
"perl -e @T=localtime(time-86400);printf(""%02d/%02d/%04d"",$T[3],$T[4]+1,$T[5]+1900) | read dt","perl -e @t=localtime(time-86400);printf(""%02d/%02d/%04d"",$t[3],$t[4]+1,$t[5]+1900) | read dt",save _DATETIME 's date into variabl _REGEX use perl
find Path -perm Permission | head,find path -perm permission | head,find all _NUMBER permiss file and directori under current directori tree and show onli first _NUMBER of them
grep $( dirname Regex ) File,grep $( dirname regex ) file,find all string with parent folder of path _REGEX in _REGEX and save result in _REGEX variabl
uname -m,uname -m,set variabl _REGEX to machin architectur ie _REGEX
find . -name *.php -type f -print0 | xargs -0 -n1 php -l,find . -name *.php -type f -print0 | xargs -0 -n1 php -l,perform syntax check on all _FILE file in current directori tree
find Path -iname Regex | sort -r,find path -iname regex | sort -r,list all file path under current directori with case insensit name _FILE in revers alphabet order
find Path -name Regex -print | cpio -p -a -v -d Regex,find path -name regex -print | cpio -p -a -v -d regex,copi all file match _FILE to _FILE preserv directori hierarchi
find Path -maxdepth Quantity -type f,find path -maxdepth quantity -type f,find all regular file in _REGEX directori
find . -name nameoffile -print | cpio -iv > /dev/fd0,find . -name nameoffile -print | cpio -iv > /dev/fd0,find all instanc of a file in current folder and creat a backup of it in floppi
find /home -type f -name *.ext -print0 | while read -r -d $(printf 000) -r path; do cat $path | tr -d \r > $path_new; done,find /home -type f -name *.ext -print0 | while read -r -d $(printf 000) -r path; do cat $path | tr -d \r > $path_new; done,remov _REGEX charact from all _FILE file under _FILE directori and save result to new file with _REGEX append in name
ifconfig Regex | grep Regex | grep -v Regex | awk Program,ifconfig regex | grep regex | grep -v regex | awk program,find ip address of _REGEX network interfac
find Path -wholename Regex -prune -or -type f -perm -Permission -exec ls -l {} \;,find path -wholename regex -prune -or -type f -perm -permission -exec ls -l {} \;,find all file on system that are world writabl
find Path -newer File -print,find path -newer file -print,find all file in current folder which been modifi after file _FILE
find Path -type f -exec sed -i Program {} +,find path -type f -exec sed -i program {} +,find all file in _FILE and replac everi occurr of _REGEX with _REGEX in those file invok sed as few time as possibl
"find . -name *.xml -exec sh -c echo ""cp $0 someWhereElse/$0"" {} ;","find . -name *.xml -exec sh -c echo ""cp $0 somewhereelse/$0"" {} ;",search for all _FILE file in current folder and display copi command to copi them to anoth folder
ssh -S Path -O Regex Regex,ssh -s path -o regex regex,close master ssh control socket _REGEX to _FILE
find Path -mmin -Quantity -ls,find path -mmin -quantity -ls,list all file from current directori tree that were modifi less than _TIMESPAN ago
find Path -name Regex | xargs -I {} rm {},find path -name regex | xargs -i {} rm {},forc delet all file in current directori that begin with _REGEX
find . -type f -print -exec sh -c readelf -s {} | grep mysymbol ;,find . -type f -print -exec sh -c readelf -s {} | grep mysymbol ;,print path to all _FILE file under current directori and search for symbol in symbol tabl
rsync -u File File,rsync -u file file,copi _REGEX to _REGEX if _REGEX is newer than _REGEX
find Path -mtime Timespan,find path -mtime timespan,search for file in home directori which been modifi in _TIMESPAN
su,su,get root access
find Path -type f -name Regex ! -name Regex -print,find path -type f -name regex ! -name regex -print,find all _FILE file except _FILE
popd,popd,pop top directori of dir stack and chang to it
find Path -name Regex -type f -print,find path -name regex -type f -print,find regular file name _FILE under root _DIRECTORY directori
find Path -type d -exec chmod Permission {} \;,find path -type d -exec chmod permission {} \;,chang permiss of all directori to _NUMBER in folder _FILE
bzip2 -d -c File | tar -x -v -f File File,bzip2 -d -c file | tar -x -v -f file file,extract singl file _REGEX from _REGEX tarbal _FILE
"watch -tdn0.5 ps -mo pid,tid,%cpu,psr -p `pgrep BINARY-NAME`","watch -tdn0.5 ps -mo pid,tid,%cpu,psr -p `pgrep binary-name`",execut _REGEX everi half second display with no titl and highlight differ
find Path,find path,find all file and directori under _REGEX directori
x=$(ifconfig eth0) && x=${x#*HWaddr } && echo ${x%% *},x=$(ifconfig eth0) && x=${x#*hwaddr } && echo ${x%% *},get mac address of _REGEX network interfac
find Path -ctime Timespan -type f,find path -ctime timespan -type f,find all file that been chang _DATETIME
echo Regex | sed Program,echo regex | sed program,collaps doubl slash in variabl _REGEX into a singl one
find / -name *.txt -mount 2> /dev/null,find / -name *.txt -mount 2> /dev/null,find all _FILE file except for those on other file system
find Path -group Regex -perm -Permission -print,find path -group regex -perm -permission -print,find all file that are set group id to _NUMBER
ping -c Quantity -q Regex | grep -o -P Regex,ping -c quantity -q regex | grep -o -p regex,print percentag of packet lost of _NUMBER packet sent to _REGEX
du | awk Program,du | awk program,print path to all subdirectori insid of a directori
find Path -type f -regex Regex,find path -type f -regex regex,display all scala file in directori _FILE
watch ls,watch ls,execut _REGEX everi _TIMESPAN
find Path ! -path Regex -iname Regex,find path ! -path regex -iname regex,exclud directori from find command
find Path \( -iname Regex -or -iname Regex \),find path \( -iname regex -or -iname regex \),search _FILE directori recurs for _FILE and _FILE file
yes | head - Quantity,yes | head - quantity,print _NUMBER newlin separ _REGEX
find Path -name Regex | xargs -I {} vim {},find path -name regex | xargs -i {} vim {},open all _FILE file in current directori tree in vim editor
ln -s File $( basename Regex ),ln -s file $( basename regex ),creat a symbol link name basenam of _REGEX to _REGEX
crontab -l | sed Program | crontab File,crontab -l | sed program | crontab file,uncom everi entri in current user 's cron job list which contain _FILE
yes Regex | head - Quantity,yes regex | head - quantity,print argument _REGEX _REGEX time
cat File,cat file,print content of _FILE
uname -r | cut -d Regex -f Number,uname -r | cut -d regex -f number,display onli first and second dot-separ number of kernel version ie _NUMBER
find Path -mtime -Timespan,find path -mtime -timespan,find all file and directori under _REGEX directori tree which been modifi in _TIMESPAN
find Path -name Regex -exec grep Regex {} \;,find path -name regex -exec grep regex {} \;,search all file in current directori tree whose name end in _NUMBER for string _NUMBER
mkdir $(printf $HOME/Labs/lab4a/folder%03g  {0..3}),mkdir $(printf $home/labs/lab4a/folder%03g  {0..3}),make _NUMBER directori name _FILE follow by a _NUMBER width _NUMBER pad number from _NUMBER to _NUMBER
read -r -d $\0 content <<< ${some_variable},read -r -d $\0 content <<< ${some_variable},read content of _REGEX until a null charact is found and save result in variabl _REGEX
find Path -type d -iname Regex,find path -type d -iname regex,find all directori that start with stat
find $INPUT_LOCATION -name *.pdf.marker | xargs -i bash -c mv ${0%.marker} $0 $1 {} $OUTPUT_LOCATION,find $input_location -name *.pdf.marker | xargs -i bash -c mv ${0%.marker} $0 $1 {} $output_location,move all _FILE file and correspond _FILE file under _REGEX to _REGEX
rsync -a -v -h File File,rsync -a -v -h file file,archiv _FILE to _FILE with human readabl output
find Path -name Regex,find path -name regex,search current directori and directori below for _FILE file
find . -name *.xml | while read i; do grep <?xml $i >/dev/null; [ $? == 0 ] && echo $i; done,find . -name *.xml | while read i; do grep <?xml $i >/dev/null; [ $? == 0 ] && echo $i; done,find all _FILE file under current directori search for _REGEX in those file and print path of match file
find Path -type d -mtime +Timespan -exec rm -r -f {} \;,find path -type d -mtime +timespan -exec rm -r -f {} \;,delet all directori found in _REGEX that are more than a work-week old
find /dump -type f -name *.xml | parallel -j8 java -jar ProcessFile.jar {},find /dump -type f -name *.xml | parallel -j8 java -jar processfile.jar {},find all _FILE file in a directori and pass it as an argument to a _FILE
find Path -mmin -Quantity -mmin +Quantity -type f -name Regex -exec ls -l {} \;,find path -mmin -quantity -mmin +quantity -type f -name regex -exec ls -l {} \;,find all file in current directori which start with t and been modifi between one hour and _TIMESPAN ago
find Path -type f -name Regex | xargs -I {} tar -c -v -f File {},find path -type f -name regex | xargs -i {} tar -c -v -f file {},creat a tar archiv with all _FILE file under current directori
find | wc -l,find | wc -l,find all file and directori under current directori and count number of line for output
"date --date Regex +""%Y""","date --date regex +""%y""",print what year it was _TIMESPAN ago
find Path -name Regex -or -type d,find path -name regex -or -type d,search for file _REGEX in current folder or display all directori
mkdir -p $( seq -s Regex Number ),mkdir -p $( seq -s regex number ),creat _NUMBER directori one insid anoth with sequenti name _REGEX _REGEX _FILE _REGEX and creat an addit folder name _REGEX insid last _REGEX directori
find Path -size Size,find path -size size,find all file and directori under _FILE that are _SIZE in size
{ time find / &>/dev/null; } 2>&1 | grep real,{ time find / &>/dev/null; } 2>&1 | grep real,redirect output of _REGEX built-in function and print onli real-tim statist
echo Regex | sed -e Program -e Program | column -t,echo regex | sed -e program -e program | column -t,remov everyth within parenthes and substitut all non digit charact with a space from _FILE and format output as a tabl
tmux show-options -g,tmux show-options -g,show global window option
ls -1 | tail -n +Quantity | head -n Quantity,ls -1 | tail -n +quantity | head -n quantity,print nth line of output from _REGEX
find Path -perm Permission -type f -exec ls -l {} \;,find path -perm permission -type f -exec ls -l {} \;,find regular file which _NUMBER permiss
join -t Regex -a Quantity -a Quantity <( sort File ) <( sort File ),join -t regex -a quantity -a quantity <( sort file ) <( sort file ),join comma-separ data in _REGEX and _REGEX includ extra non-match inform in both file
watch bash -c your_script,watch bash -c your_script,execut _REGEX everi _TIMESPAN
find Path $( pwd -P ) -mtime Timespan -not \( -name Regex -or -regex Regex -or -regex Regex \),find path $( pwd -p ) -mtime timespan -not \( -name regex -or -regex regex -or -regex regex \),search current directori recurs for file last modifi within past _TIMESPAN ignor _FILE file and path _FILE and _FILE
find Path -name Regex,find path -name regex,find all filenam end with _FILE in current directori tree
perl -p -i -e s/oldstring/newstring/g `find ./ -name *.html`,perl -p -i -e s/oldstring/newstring/g `find ./ -name *.html`,find all _FILE file in current folder and replac old string with new string
"getent group <groupname> | cut -d: -f4 | tr , \n","getent group <groupname> | cut -d: -f4 | tr , \n",list user have _REGEX as secondari group
find Path -mtime -Timespan | xargs -I {} ls -l -d {},find path -mtime -timespan | xargs -i {} ls -l -d {},display a long list of all file in current folder which been modifi in _TIMESPAN
find Path -type f -name Regex | xargs -I {} tar -r -v -f File {},find path -type f -name regex | xargs -i {} tar -r -v -f file {},append _FILE file from current directori tree to tar archiv _FILE
find Path -name Regex,find path -name regex,find all _REGEX file under and below _DIRECTORY
find Path -name Regex -or -name Regex -print0,find path -name regex -or -name regex -print0,find in _REGEX file end in _FILE and noth with them or file end in _FILE and list them null separ
find Path -type d -name Regex -exec echo {} \; -exec rm -r -f {} \;,find path -type d -name regex -exec echo {} \; -exec rm -r -f {} \;,find all directori name _REGEX under _REGEX directori tree and remov them
mv File $( echo Regex | rev | cut -f Number -d Regex | rev ),mv file $( echo regex | rev | cut -f number -d regex | rev ),renam _REGEX file preserv onli part of name befor _REGEX symbol and append _FILE suffix to end
"find . -type d -iname *foo* -depth -exec bash -c      echo mv ""$1"" ""${1//[Ff][Oo][Oo]/BAr}""  -- {} ;","find . -type d -iname *foo* -depth -exec bash -c      echo mv ""$1"" ""${1//[ff][oo][oo]/bar}""  -- {} ;",move all _REGEX directori under current directori to new path obtain by replac all occurr of _REGEX with _REGEX in path
find Path -type f | env -i Program Program,find path -type f | env -i program program,print a list of regular file from directori tree _DIRECTORY sort with _FILE
find Path -mtime -Timespan -or -newer File,find path -mtime -timespan -or -newer file,search current user 's home directori and it sub-directori for ani file that was modifi less than _TIMESPAN ago or was modifi after filenam was last modifi
echo -e Regex | xargs -I {} touch {},echo -e regex | xargs -i {} touch {},creat empti file with name match each word in variabl _REGEX
find Path -mtime +Timespan | xargs -I {} rm -r -f {},find path -mtime +timespan | xargs -i {} rm -r -f {},delet all file in tbd directori that were modifi more than _TIMESPAN ago
xxd -p file | tr -d \n,xxd -p file | tr -d \n,print content of _REGEX as space separ hexadecim byte on a singl line
cd $( ls -r -d File | tail --lines Quantity ),cd $( ls -r -d file | tail --lines quantity ),go to last directori with name start with a number use for timestamp directori name
find . -type f ! -iregex .\|./.git -exec perl -i -pe s/$lower1/$lower2/g {} +,find . -type f ! -iregex .\|./.git -exec perl -i -pe s/$lower1/$lower2/g {} +,find all file under current directori that match case insensit regex _REGEX and replac text match regex expand by _REGEX with _REGEX in these file
find Path -type f -exec wc -l {} \; | awk Program,find path -type f -exec wc -l {} \; | awk program,count total number of line in all file below current directori
find Path -name Regex | xargs -I {} ls -l -r -t {} | awk Program,find path -name regex | xargs -i {} ls -l -r -t {} | awk program,list all _FILE file and directori under _DIRECTORY directori
cat File | sort -u,cat file | sort -u,print all uniqu string in _FILE file
find Path -name Regex -exec wc -l {} \;,find path -name regex -exec wc -l {} \;,find file name _REGEX in current directori tree and print number of line in each of them
cp File File,cp file file,copi file _REGEX from directori _FILE to a new file name _REGEX in _FILE
find . -atime +7 -o -size +`expr 10 * 1024 * 2` -print,find . -atime +7 -o -size +`expr 10 * 1024 * 2` -print,find ani file in current directori and it sub-directori that were last access more than _TIMESPAN or are larger than _NUMBER _REGEX _NUMBER _REGEX _SIZE in size that is larger than _SIZE
rename Regex Regex,rename regex regex,add _REGEX to begin of name of _FILE renam it to _FILE
find Path -name Regex,find path -name regex,find all _FILE file start with letter _REGEX in current directori and below
awk Program Program Program | rev | column -t | rev,awk program program program | rev | column -t | rev,subtract all column in _REGEX from _REGEX except first
yes Regex | head - Quantity | nl | sort -R | cut -f Number | head - Quantity,yes regex | head - quantity | nl | sort -r | cut -f number | head - quantity,print either _REGEX or _REGEX random _NUMBER time
find Path -type f -print0 | tr Regex Regex,find path -type f -print0 | tr regex regex,print all file in current directori tree as a comma separ list
kill Regex,kill regex,send sigterm signal to first process sent to background by current shell
hostname -a -l mydomain.com | sed -n /;; ANSWER/{n;N;p;q},hostname -a -l mydomain.com | sed -n /;; answer/{n;n;p;q},print sub domain of _FILE
mount,mount,list all mount filesystem
dpkg -S `which command`,dpkg -s `which command`,display which packag command _REGEX belong to in dpkg
rsync -r -v -v --recursive File File,rsync -r -v -v --recursive file file,recurs copi directori _FILE to _FILE
chmod Permission File -R,chmod permission file -r,recurs set all permiss under _FILE to _NUMBER
find Path -name Regex -type f -print0,find path -name regex -type f -print0,find all regular file whose name contain _REGEX in directori tree _FILE
find Path -type f -exec md5sum File \;,find path -type f -exec md5sum file \;,calcul and show _REGEX sum for everi file under current directori tree
find Path -type f -exec grep -l Regex {} \;,find path -type f -exec grep -l regex {} \;,search for _REGEX in all regular file under current directori tree and show match file
true | echo `tty | sed s:/dev/::`,true | echo `tty | sed s:/dev/::`,run _REGEX command in a subshel that is open by built-in function _REGEX
"find . -type f -name *.m4a -exec bash -c avconv -i ""$0"" ""${0/%m4a/mp3}"" {} ;","find . -type f -name *.m4a -exec bash -c avconv -i ""$0"" ""${0/%m4a/mp3}"" {} ;",convert all _REGEX sound file in a directori and it subdirectori to _FILE file
find Path -mount -name Regex,find path -mount -name regex,find all text file in file system and search onli in disk partit of root
comm <( sort -n File ) <( sort -n File ),comm <( sort -n file ) <( sort -n file ),compar sort file _FILE and _FILE and print in _NUMBER column string uniqu for first file second file and common one
find Path -type f -iname Regex -print0,find path -type f -iname regex -print0,search _DIRECTORY directori tree for _FILE file
